FECHA,PRODUCTO_1,TIPO_CONTRATO_1,PRODUCTO_2,TIPO_CONTRATO_2,AJUSTE_POS1,AJUSTE_POS2,SPREAD,RELACION%
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,TRI Dolar MATba,TRI.ROS/SEP24,172.0,248.0,-76.0,-30.645
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,TRI Dolar MATba,TRI.ROS/DIC24,172.0,220.0,-48.0,-21.818
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,TRI Dolar MATba,TRI.ROS/ENE25,172.0,221.5,-49.5,-22.348
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,TRI Dolar MATba,TRI.ROS/MAR25,172.0,223.0,-51.0,-22.87
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,MAI Disponible,MAI.ROS/DIS24,166.6,174.0,-7.4,-4.253
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,MAI Dolar MATba,MAI.ROS/SEP24,166.6,177.9,-11.3,-6.352
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,MAI Dolar MATba,MAI.ROS/DIC24,166.6,178.9,-12.3,-6.875
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,MAI Dolar MATba,MAI.ROS/ABR25,166.6,172.0,-5.4,-3.14
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Disponible,SOJ.ROS/DIS24,166.6,310.5,-143.9,-46.345
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/SEP24,166.6,311.0,-144.4,-46.431
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/NOV24,166.6,310.0,-143.4,-46.258
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/ENE25,166.6,307.5,-140.9,-45.821
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/MAY25,166.6,285.0,-118.4,-41.544
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/JUL25,166.6,289.0,-122.4,-42.353
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,TRI Disponible,TRI.ROS/DIS24,166.6,251.5,-84.9,-33.757
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,TRI Dolar MATba,TRI.ROS/SEP24,166.6,248.0,-81.4,-32.823
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,TRI Dolar MATba,TRI.ROS/DIC24,166.6,220.0,-53.4,-24.273
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,TRI Dolar MATba,TRI.ROS/ENE25,166.6,221.5,-54.9,-24.786
2024-08-06,MAI Dolar MATba,MAI.ROS/JUL25,TRI Dolar MATba,TRI.ROS/MAR25,166.6,223.0,-56.4,-25.291
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,MAI Disponible,MAI.ROS/DIS24,310.5,174.0,136.5,78.448
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,MAI Dolar MATba,MAI.ROS/SEP24,310.5,177.9,132.6,74.536
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,MAI Dolar MATba,MAI.ROS/DIC24,310.5,178.9,131.6,73.561
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,MAI Dolar MATba,MAI.ROS/ABR25,310.5,172.0,138.5,80.523
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,MAI Dolar MATba,MAI.ROS/JUL25,310.5,166.6,143.9,86.375
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/SEP24,310.5,311.0,-0.5,-0.161
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/NOV24,310.5,310.0,0.5,0.161
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/ENE25,310.5,307.5,3.0,0.976
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/MAY25,310.5,285.0,25.5,8.947
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/JUL25,310.5,289.0,21.5,7.439
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,TRI Disponible,TRI.ROS/DIS24,310.5,251.5,59.0,23.459
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,TRI Dolar MATba,TRI.ROS/SEP24,310.5,248.0,62.5,25.202
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,TRI Dolar MATba,TRI.ROS/DIC24,310.5,220.0,90.5,41.136
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,TRI Dolar MATba,TRI.ROS/ENE25,310.5,221.5,89.0,40.181
2024-08-06,SOJ Disponible,SOJ.ROS/DIS24,TRI Dolar MATba,TRI.ROS/MAR25,310.5,223.0,87.5,39.238
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,MAI Disponible,MAI.ROS/DIS24,311.0,174.0,137.0,78.736
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,MAI Dolar MATba,MAI.ROS/SEP24,311.0,177.9,133.1,74.817
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,MAI Dolar MATba,MAI.ROS/DIC24,311.0,178.9,132.1,73.84
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,MAI Dolar MATba,MAI.ROS/ABR25,311.0,172.0,139.0,80.814
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,MAI Dolar MATba,MAI.ROS/JUL25,311.0,166.6,144.4,86.675
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,SOJ Disponible,SOJ.ROS/DIS24,311.0,310.5,0.5,0.161
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/NOV24,311.0,310.0,1.0,0.323
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/ENE25,311.0,307.5,3.5,1.138
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/MAY25,311.0,285.0,26.0,9.123
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/JUL25,311.0,289.0,22.0,7.612
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,TRI Disponible,TRI.ROS/DIS24,311.0,251.5,59.5,23.658
